SpringPos	StockPrice
2.27	3.48
6.38	2.99
8.61	5.86
8.65	1.79
13.17	3.47
14.52	7.73
15.12	7.83
19.62	4.70
18.91	8.97
23.17	8.43
24.17	6.00
24.96	8.54
23.72	8.40
26.10	7.13
26.09	7.11
24.40	8.76
24.21	8.37
23.12	7.59
25.71	9.72
24.06	7.47
25.86	9.91
24.64	6.86
22.51	8.57
20.31	10.31
19.27	9.21
15.58	8.35
11.91	5.67
9.57	9.14
10.53	4.73
5.32	7.35
6.80	4.28
5.13	7.82
-0.64	5.40
-1.91	6.45
-3.77	2.37
-2.60	1.86
-7.16	5.52
-10.78	4.74
-8.69	3.54
-12.28	4.50
-12.58	3.12
-15.95	3.06
-13.74	0.67
-14.59	4.52
-15.80	2.46
-17.53	2.97
-19.91	4.57
-15.32	2.59
-17.69	0.76
-17.25	1.35
-15.17	1.07
-13.66	3.26
-13.19	4.54
-11.89	5.50
-12.57	3.05
-12.54	5.90
-9.06	7.32
-7.35	4.79
-7.89	3.78
-4.57	4.74
-3.98	6.45
-1.70	6.34
1.00	9.30
0.65	11.04
6.02	9.60
5.76	12.40
9.00	10.81
8.23	12.29
13.22	10.08
14.31	10.19
14.02	15.25
16.63	13.70
15.67	14.35
18.69	15.42
20.60	16.46
20.42	12.48
19.51	16.11
17.19	13.70
19.75	15.36
20.03	17.72
17.30	16.43
20.08	14.88
18.80	16.94
19.77	16.97
15.78	17.01
14.67	12.88
14.01	16.08
11.72	14.61
13.21	16.40
9.80	13.06
9.52	11.19
5.57	11.23
7.25	13.13
6.89	13.35
0.68	14.42
-0.07	10.10
0.72	10.09
-1.51	11.06
-3.90	11.84
-4.32	12.06
-3.18	8.28
-7.19	10.35
-9.25	9.80
-7.38	9.34
-10.89	11.19
-9.51	8.51
-12.21	8.14
-9.18	9.32
-13.89	7.86
-12.47	6.05
-11.79	7.53
-9.98	10.95
-12.17	6.81
-8.19	7.11
-9.65	11.26
-11.49	8.97
-6.34	10.75
-7.67	12.49
-8.23	11.22
-7.07	9.10
-2.54	11.84
-0.83	12.05
-2.81	12.00
1.39	11.45
1.81	11.83
-0.60	15.79
3.80	16.69
3.75	15.78
6.50	18.90
5.59	14.65
5.27	18.29
6.95	17.68
9.50	19.18
11.36	19.23
12.65	21.42
11.88	17.97
11.87	18.34
12.19	20.41
11.92	22.93
15.58	22.86
11.10	19.32
11.59	20.31
13.77	24.09
10.74	20.88
13.55	21.80
12.79	22.49
13.58	21.25
12.17	22.57
10.57	21.43
11.06	19.95
9.68	21.66
5.85	21.69
6.71	19.91
4.63	18.19
4.48	19.70
4.75	17.70
5.82	18.85
1.86	20.05
3.55	17.29
0.18	14.96
-2.32	15.22
-2.60	16.64
-2.01	15.09
-1.53	16.44
-4.62	16.11
-1.22	13.50
-1.72	17.11
-6.24	16.17
-4.90	12.97
-4.00	13.83
-3.45	14.43
-4.91	13.46
-4.42	15.93
-5.67	15.60
-6.98	14.11
-4.70	15.67
-5.89	16.05
-3.68	14.61
-4.67	15.27
-1.19	18.27
-4.77	17.60
-3.31	18.10
0.35	17.82
1.10	19.17
1.18	16.31
2.63	20.71
-1.35	19.01
1.47	21.60
2.19	20.31
0.34	19.43
5.89	20.12
2.75	20.59
5.55	22.24
2.99	26.21
6.39	23.94
4.20	26.06
8.19	26.07
7.11	24.48
6.42	27.01
8.69	24.63
6.36	25.96
7.89	27.16
6.88	27.91
4.98	29.40
6.88	27.81
9.25	29.48
8.57	29.49
6.35	29.33
5.91	26.85
4.23	30.05
5.11	28.06
5.67	28.64
5.11	27.87
5.46	29.05
6.81	25.68
4.12	25.10
2.58	27.04
1.65	25.64
2.96	27.06
4.19	23.78
1.11	24.94
1.37	25.14
2.29	22.65
1.80	21.04
0.82	20.98
0.59	20.30

